file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00136_0039_217814_to_224378,མ་གཞི་ནས་ངས་གང་ཞུས་པ་དེ་དངོས་ཡོད་གནས་ཚུལ་ཡིན་པས། ང་ལ་གནས་ཚུལ་ངན་པ་ཡོང་རྒྱུ་ག་རེ་ཡོད་རེད།  ,ma gzhi nas ngas gang zhus pa de dngos yod gnas tshul yin pas/_nga la gnas tshul ngan pa yong rgyu ga re yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00136_0039_217814_to_224378.wav,STT_AB,2,90,6.564,wav16k/STT_AB00136_0039_217814_to_224378.wav,མ་གཞི་ནས་ངས་གང་ཞུས་པ་དེ་དངོས་ཡོད་གནས་ཚུལ་ཡིན་པས། ང་ལ་གནས་ཚུལ་ངན་པ་ཡོང་རྒྱུ་ག་རེ་ཡོད་རེད།
STT_AB00136_0044_256103_to_259950,ཅེས་བྱིས་པ་ཆུང་ཆུང་ཞིག་དང་འདྲ་བར་ངུ་ངག་དང་བཅས་ཞུས་པ་ན།  ,ces byis pa chung chung zhig dang 'dra bar ngu ngag dang bcas zhus pa na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00136_0044_256103_to_259950.wav,STT_AB,2,56,3.847,wav16k/STT_AB00136_0044_256103_to_259950.wav,ཅེས་བྱིས་པ་ཆུང་ཆུང་ཞིག་དང་འདྲ་བར། ངུ་ངག་དང་བཅས་ཞུས་པ་ན།
STT_AB00136_0045_260541_to_268177,པཎ་ཆེན་རིན་པོ་ཆེ་རང་གི་ཡོངས་འཛིན་ལ་ཤིན་ཏུ་གུས་ཞབས་ཡོད་པར་མ་ཟད། ཡོངས་འཛིན་རིན་པོ་ཆེས་སྤྱན་ཆབ་འདོན་བཞིན་གསུངས་པ་འདི་ཐམས་ཅད།  ,paN chen rin po che rang gi yongs 'dzin la shin tu gus zhabs yod par ma zad/_yongs 'dzin rin po ches spyan chab 'don bzhin gsungs pa 'di thams cad/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00136_0045_260541_to_268177.wav,STT_AB,2,123,7.636,wav16k/STT_AB00136_0045_260541_to_268177.wav,པཎ་ཆེན་རིན་པོ་ཆེས་རང་གི་ཡོངས་འཛིན་ལ་ཤིན་ཏུ་གུས་ཞབས་ཡོད་པར་མ་ཟད། ཡོངས་འཛིན་རིན་པོ་ཆེས་སྤྱན་ཆབ་འདོན་བཞིན་གསུངས་པ་འདི་ཐམས་ཅད།
STT_AB00139_0001_2674_to_6049,གཏམ་རྒྱུད་ཀྱི་ལམ་ནས་མེས་པོའི་ཞབས་རྗེས་འཚོལ་བ།  ,gtam rgyud kyi lam nas mes po'i zhabs rjes 'tshol ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00139_0001_2674_to_6049.wav,STT_AB,2,47,3.375,wav16k/STT_AB00139_0001_2674_to_6049.wav,གཏམ་རྒྱུད་ཀྱི་ལམ་ནས་མེས་པོའི་ཞབས་རྗེས་འཚོལ་བ།
STT_AB00136_0043_246105_to_255833,བོད་ཀྱི་ས་ཁུལ་ཡོངས་རྫོགས་ཀྱི་ཆོས་སྲིད་ཀྱི་ལས་དོན་ཐོག་དོ་ཕོག་ཆེན་པོ་འབྱུང་ངེས་ཡིན། དེ་དུས་བོད་མི་ས་ཡ་ཁ་ཤས་ལ་བརྟེན་ས་མེད་པར་ཆགས་རྒྱུ་རེད།  ,bod kyi sa khul yongs rdzogs kyi chos srid kyi las don thog do phog chen po 'byung nges yin/_de dus bod mi sa ya kha shas la brten sa med par chags rgyu red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00136_0043_246105_to_255833.wav,STT_AB,2,137,9.728,wav16k/STT_AB00136_0043_246105_to_255833.wav,བོད་ཀྱི་ས་ཁུལ་ཡོངས་རྫོགས་ཀྱི་ཆོས་སྲིད་ཀྱི་ལས་དོན་ཐོག་དོ་ཕོག་ཆེན་པོ་འབྱུང་ངེས་ཡིན། དེ་དུས་བོད་མི་ས་ཡ་ཁ་ཤས་ལ་བརྟེན་ས་མེད་པ་ཆགས་རྒྱུ་རེད།
STT_AB00136_0046_268177_to_275813,རང་ཉིད་དང་། བོད་སྤྱི་བའི་ལས་དོན་ལ་དགོངས་པ་བཞེས་ནས་གསུངས་པ་ཤ་སྟག་ཡིན་པས། ཡོངས་འཛིན་མཆོག་ལ་ཐུགས་ཕམ་བཟོ་འདོད་གཏན་ནས་མེད་ཀྱང་།  ,rang nyid dang /_bod spyi ba'i las don la dgongs pa bzhes nas gsungs pa sha stag yin pas/_yongs 'dzin mchog la thugs pham bzo 'dod gtan nas med kyang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00136_0046_268177_to_275813.wav,STT_AB,2,124,7.636,wav16k/STT_AB00136_0046_268177_to_275813.wav,རང་ཉིད་དང་བོད་སྤྱི་པའི་ལས་དོན་ལ་དགོངས་པ་བཞེས་ནས་གསུངས་པ་ཤ་སྟག་ཡིན་པས། ཡོངས་འཛིན་ཕཆོག་ལ་ཐུགས་ཕམ་བཟོ་འདོད་གཏན་ནས་མེད་ཀྱང་།
STT_AB00137_0003_31007_to_39276,མཛོད་དགེ་ཉི་མ་ནི། ཕྱི་ལོ་ཆིག་སྟོང་དགུ་བརྒྱ་ཉི་ཤུ་རྩ་དྲུག་ལོར་མདོ་སྨད་ལྷོ་རྒྱུད་གཟའ་རུ་ཨ་ནུ་ཐང་ཞེས་པའི་ཞིང་པའི་གྲོང་གསེབ་ཅིག་ཏུ་སྐུ་འཁྲུངས།  ,mdzod dge nyi ma ni/_phyi lo chig stong dgu brgya nyi shu rtsa drug lor mdo smad lho rgyud gza' ru a nu thang zhes pa'i zhing pa'i grong gseb cig tu sku 'khrungs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00137_0003_31007_to_39276.wav,STT_AB,2,140,8.269,wav16k/STT_AB00137_0003_31007_to_39276.wav,མཛོད་དགེ་ཉི་མ་ནི། ཕྱི་ལོ་ཆིག་སྟོང་དགུ་བརྒྱ་ཉི་ཤུ་རྩ་དྲུག་ལོར་ མདོ་སྨད་ལྷོ་རྒྱུད་ཟ་རུ་ཨ་ནུ་ཐང་ཞེས་པའི་ཞིང་པའི་གྲོང་གསེབ་ཅིག་ཏུ་སྐུ་འཁྲུངས།
STT_AB00142_0016_92888_to_94862,གཤིན་པོ་ལ་ཕན་པའི་ཆོས་ཤིག་བྱ་དགོས།  ,gshin po la phan pa'i chos shig bya dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00142_0016_92888_to_94862.wav,STT_AB,2,35,1.974,wav16k/STT_AB00142_0016_92888_to_94862.wav,གཤིན་པོ་ལ་ཕན་པའི་ཆོས་ཤིག་བྱ་དགོས།
STT_AB00137_0005_44912_to_47579,མཚན་ཉིད་ཀྱི་གཞུང་ཆེན་ཁག་ལ་སློབ་སྦྱོང་མཛད་པའི་ཞོར་དུ།  ,mtshan nyid kyi gzhung chen khag la slob sbyong mdzad pa'i zhor du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00137_0005_44912_to_47579.wav,STT_AB,2,54,2.667,wav16k/STT_AB00137_0005_44912_to_47579.wav,མཚན་ཉིད་ཀྱི་གཞུང་ཆེན་ཁག་ལ་སློབ་སྦྱོང་མཛད་པའི་ཞོར་དུ།
STT_AB00137_0009_68774_to_76367,དམངས་གཙོ་བཅོས་སྒྱུར་དང་རིག་གནས་གསར་བརྗེ་ཆེན་མོའི་དུས་འགྱུར་སྐབས། བོད་ཀྱི་རིག་གནས་རྒྱུན་འཛིན་དང་དར་སྤེལ་སླད་མཛད་འགན་རྒྱ་ཆེར་བཞེས།  ,dmangs gtso bcos sgyur dang rig gnas gsar brje chen mo'i dus 'gyur skabs/_bod kyi rig gnas rgyun 'dzin dang dar spel slad mdzad 'gan rgya cher bzhes/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00137_0009_68774_to_76367.wav,STT_AB,2,130,7.593,wav16k/STT_AB00137_0009_68774_to_76367.wav,དམངས་གཙོ་བཅོས་སྒྱུར་དང་རིག་གནས་གསར་བརྗེ་ཆེན་མོའི་དུས་སྒྱུར་སྐབས། བོད་ཀྱི་རིག་གནས་རྒྱུན་འཛིན་དང་། དར་སྤེལ་སླད་མཛད་འགན་རྒྱ་ཆེར་བཞེས།
